# Rime user dictionary
#@/db_name	wanxiang_pro
#@/db_type	userdb
#@/rime_version	1.14.0
#@/tick	5390
#@/user_id	arsiendle_ph
a;ka 	啊	c=9 d=1.45172 t=5390
bèi;wt fèn;rf 	备份	c=9 d=1.29419 t=5390
bèi;yp 	被	c=8 d=0.988151 t=5390
bèi;yp pò;zb 	被迫	c=1 d=0.0380064 t=5390
bèn;vb dàn;ip,pi 	笨蛋	c=1 d=0.00327971 t=5390
bì;bu,ub jìng;le 	毕竟	c=3 d=0.701321 t=5390
bìng;bk,qc 	并	c=6 d=0.751174 t=5390
bìng;bk,qc bú;ad,ax huì;ry 	并不会	c=1 d=0.031273 t=5390
bìng;bk,qc wèi;ex,ad 	并未	c=1 d=0.143704 t=5390
bù;ad,ax 	不	c=9 d=0.935197 t=5390
bù;ad,ax bù;ad,ax bù;ad,ax 	不不不	c=1 d=4.41872e-10 t=5390
bù;ad,ax cún;uz,za zài;ta,ut 	不存在	c=1 d=0.0197421 t=5390
bù;ad,ax cǎi;zc 	不踩	c=0 d=0.0392586 t=5390
bù;ad,ax cǎi;zc diǎn;hv 	不踩点	c=1 d=0.394554 t=5390
bù;ad,ax dé;xc bù;ad,ax shuō;yd 	不得不说	c=1 d=0.265803 t=5390
bù;ad,ax dōu;ev shì;op,ov 	不都是	c=1 d=0.0526023 t=5390
bù;ad,ax dǎ;fd yóu;dz xì;yg 	不打游戏	c=1 d=0.680451 t=5390
bù;ad,ax fā;ay,fd,vy,yd yán;da,dk,wk 	不发言	c=1 d=0.205975 t=5390
bù;ad,ax guǎn;vg 	不管	c=1 d=0.000267872 t=5390
bù;ad,ax guǎn;vg le;aa,vu 	不管了	c=1 d=0.000212834 t=5390
bù;ad,ax gāi;yh 	不该	c=1 d=0.00444934 t=5390
bù;ad,ax gāo;wk xìng;ba,db 	不高兴	c=1 d=0.00504176 t=5390
bù;ad,ax gěi;sh guò;zc 	不给过	c=1 d=0.0153752 t=5390
bù;ad,ax gǎn;we,aw,vw 	不敢	c=1 d=1.27827e-06 t=5390
bù;ad,ax hǎo;nz 	不好	c=3 d=1.59941 t=5390
bù;ad,ax hǎo;nz yòng;kf 	不好用	c=1 d=0.210136 t=5390
bù;ad,ax hǎo;nz àn;fa 	不好按	c=1 d=0.0143357 t=5390
bù;ad,ax kāi;ac 	不开	c=2 d=1.90795 t=5390
bù;ad,ax kě;dk néng;sb 	不可能	c=2 d=0.00895987 t=5390
bù;ad,ax kě;dk yǐ;rd,ry 	不可以	c=3 d=0.870949 t=5390
bù;ad,ax liǎo;aa,vu le;aa,vu 	不了了	c=0 d=2.35217e-05 t=5390
bù;ad,ax míng;oo bái;pa,po 	不明白	c=1 d=0.194953 t=5390
bù;ad,ax měi;dy,yd guān;jy,yj 	不美观	c=1 d=0.0982736 t=5390
bù;ad,ax néng;sb 	不能	c=6 d=0.900325 t=5390
bù;ad,ax qīng;dq chu;mp,pl 	不清楚	c=1 d=0.0412714 t=5390
bù;ad,ax qīng;dq xī;ox 	不清晰	c=1 d=0.0212797 t=5390
bù;ad,ax qǐ;zj zuò;rv yòng;kf 	不起作用	c=2 d=0.0303911 t=5390
bù;ad,ax rán;hq 	不然	c=5 d=0.83527 t=5390
bù;ad,ax rú;nk 	不如	c=2 d=0.946988 t=5390
bù;ad,ax shuō;yd 	不说	c=1 d=0.0049667 t=5390
bù;ad,ax shú;hu xī;xm,xb 	不熟悉	c=1 d=0.142987 t=5390
bù;ad,ax shēng;na xiào;wj 	不生效	c=2 d=0.0383895 t=5390
bù;ad,ax suǒ;jb 	不锁	c=1 d=1.81396e-06 t=5390
bù;ad,ax tuán;kc duì;er 	不团队	c=1 d=0.000218221 t=5390
bù;ad,ax tíng;rt 	不停	c=1 d=0.597501 t=5390
bù;ad,ax tóng;kk 	不同	c=1 d=0.000389106 t=5390
bù;ad,ax tóng;kk míng;xk 	不同名	c=1 d=0.000383949 t=5390
bù;ad,ax xiě;by 	不写	c=1 d=0.000626726 t=5390
bù;ad,ax xiǎng;xx 	不想	c=4 d=0.0336626 t=5390
bù;ad,ax xiǎng;xx cè;dz 	不想测	c=1 d=0.0262523 t=5390
bù;ad,ax xíng;xd,xi 	不行	c=4 d=0.774916 t=5390
bù;ad,ax xū;ye yào;xn 	不需要	c=1 d=0.937067 t=5390
bù;ad,ax xǐ;uk huān;yq 	不喜欢	c=1 d=0.477114 t=5390
bù;ad,ax yí;aa yàng;my 	不一样	c=3 d=1.33708 t=5390
bù;ad,ax yí;aa yàng;my de;bu rén;pd 	不一样的人	c=1 d=0.0119145 t=5390
bù;ad,ax yě;gg shì;op,ov 	不也是	c=1 d=0.447088 t=5390
bù;ad,ax yǐng;pj xiǎng;kx 	不影响	c=1 d=0.249075 t=5390
bù;ad,ax zhī;uk,ku dào;zu 	不知道	c=8 d=1.6887 t=5390
bù;ad,ax zú;kv 	不足	c=2 d=0.704617 t=5390
bù;ad,ax zěn;xv me;ps 	不怎么	c=1 d=0.0862934 t=5390
bù;ek,ep fèn;bd,db 	部分	c=5 d=0.348958 t=5390
bù;ek,ep shǔ;sv 	部署	c=1 d=0.00538038 t=5390
bú;ad,ax cè;dz 	不测	c=1 d=0.0267827 t=5390
bú;ad,ax duì;cy,yc 	不对	c=3 d=0.147448 t=5390
bú;ad,ax dào;dv 	不到	c=1 d=0.121846 t=5390
bú;ad,ax guò;zc 	不过	c=9 d=1.74232 t=5390
bú;ad,ax huì;ry 	不会	c=6 d=1.11253 t=5390
bú;ad,ax huì;ry ba;kb 	不会吧	c=2 d=0.126828 t=5390
bú;ad,ax huì;ry ya;ky 	不会呀	c=2 d=0.844534 t=5390
bú;ad,ax huì;ry yòng;kf 	不会用	c=1 d=0.00460782 t=5390
bú;ad,ax jiù;yj 	不就	c=1 d=0.860708 t=5390
bú;ad,ax jiù;yj shì;op,ov 	不就是	c=1 d=0.00843809 t=5390
bú;ad,ax kàn;ou,uo 	不看	c=2 d=0.0359725 t=5390
bú;ad,ax luàn;ug 	不乱	c=1 d=0.0420036 t=5390
bú;ad,ax shì;op,ov 	不是	c=20 d=1.6618 t=5390
bú;ad,ax shì;op,ov hěn;xg 	不是很	c=1 d=5.7595e-10 t=5390
bú;ad,ax shì;op,ov me;ps 	不是么	c=1 d=0.00272578 t=5390
bú;ad,ax tài;dd 	不太	c=4 d=0.277946 t=5390
bú;ad,ax tài;dd lǐ;wl jiě;jn 	不太理解	c=1 d=0.477114 t=5390
bú;ad,ax tài;dd shú;hu liàn;sd,sj 	不太熟练	c=1 d=0.331211 t=5390
bú;ad,ax xiàng;rx 	不像	c=1 d=0.0271875 t=5390
bú;ad,ax xiàng;rx běn;aa,ma rén;pd 	不像本人	c=2 d=0.00769765 t=5390
bú;ad,ax yào;xn 	不要	c=1 d=0.0273237 t=5390
bú;ad,ax yòng;kf 	不用	c=2 d=0.0560892 t=5390
bú;ad,ax yòng;kf diǎn;hv jìn;zj qù;ts 	不用点进去	c=1 d=0.410656 t=5390
bú;ad,ax yòng;kf le;aa,vu 	不用了	c=1 d=0.0639279 t=5390
bú;ad,ax ài;vy 	不爱	c=1 d=0.113608 t=5390
bú;ad,ax ài;vy kàn;ou,uo 	不爱看	c=1 d=0.927743 t=5390
bú;ad,ax àn;fa 	不按	c=1 d=0.000706633 t=5390
bā;fb 	扒	c=1 d=0.0144798 t=5390
bāng;jb 	帮	c=3 d=0.511709 t=5390
bāng;jb wǒ;pd,pp 	帮我	c=4 d=0.748413 t=5390
bāo;gs kuò;fu 	包括	c=1 d=0.0761538 t=5390
bēng;up kuì;dg 	崩溃	c=1 d=0.00272578 t=5390
běn;aa,ma dì;ty 	本地	c=3 d=0.645146 t=5390
běn;aa,ma lái;am,wb 	本来	c=3 d=0.0595043 t=5390
běn;aa,ma rén;pd 	本人	c=2 d=0.00833309 t=5390
běn;aa,ma shēn;pp 	本身	c=2 d=1.06348 t=5390
bǎ;fb 	把	c=20 d=1.59289 t=5390
bǎ;fb wǒ;pd,pp 	把我	c=1 d=0.060205 t=5390
bǎi;ab dù;gy 	百度	c=3 d=0.0526021 t=5390
bǎn;pf běn;aa,ma 	版本	c=9 d=1.22491 t=5390
bǎng;mp 	榜	c=1 d=0.0417941 t=5390
bǎo;by bao;by 	宝宝	c=1 d=0.40657 t=5390
bǎo;rd biāo;jp 	保镖	c=0 d=0.00225956 t=5390
bǎo;rd liú;td,tl,lt 	保留	c=2 d=0.16696 t=5390
bǐ;bb 	比	c=4 d=0.198242 t=5390
bǐ;bb jiào;ij 	比较	c=1 d=0.0263839 t=5390
bǐ;pg 	匕	c=1 d=0.00373503 t=5390
bǐ;vm jì;yj 	笔记	c=0 d=0.000244185 t=5390
bǔ;yb 	补	c=1 d=0.0269169 t=5390
chuàng;dc jiàn;zy le;aa,vu 	创建了	c=1 d=0.882497 t=5390
chuán;rv 	传	c=2 d=0.710114 t=5390
chuāng;xx,bx kǒu;aa 	窗口	c=1 d=0.389872 t=5390
chuī;kq 	吹	c=1 d=0.755784 t=5390
chuǎi;fe 	揣	c=0 d=0.099005 t=5390
chà;yg 	差	c=0 d=0.0123687 t=5390
chà;yg píng;yp 	差评	c=1 d=0.0278757 t=5390
chà;yg yì;aa xiē;ec 	差一些	c=1 d=0.105928 t=5390
chàng;ki gē;qg 	唱歌	c=1 d=0.242926 t=5390
chá;md kàn;ou,uo 	查看	c=1 d=0.995012 t=5390
chán;di,dz chán;di,dz 	潺潺	c=0 d=0.099005 t=5390
cháng;jk,xd,dd yòng;kf 	常用	c=1 d=0.718924 t=5390
cháng;pd 	长	c=1 d=0.07502 t=5390
cháng;pd jù;gk,kg,pk 	长句	c=2 d=0.00428064 t=5390
cháng;pd le;aa,vu 	长了	c=2 d=0.000576074 t=5390
cháng;pd àn;fa 	长按	c=3 d=1.98864 t=5390
chè;fw huí;kk 	撤回	c=1 d=0.00543443 t=5390
chèn;yc shān;yp 	衬衫	c=1 d=0.913931 t=5390
chén;iy 	辰	c=1 d=0.164474 t=5390
chén;oi xī;ox,og 	晨曦	c=1 d=0.159614 t=5390
chéng;gg,wg 	成	c=10 d=0.673015 t=5390
chéng;ti xiāng;ap,vp 	城乡	c=1 d=0.147342 t=5390
chóng;pa,ql mìng;re míng;xk 	重命名	c=1 d=0.425283 t=5390
chóng;pa,ql qǐ;hk,kh 	重启	c=1 d=0.0378169 t=5390
chóng;pa,ql shēng;na le;aa,vu 	重生了	c=1 d=0.055299 t=5390
chóng;pa,ql xīn;jq 	重新	c=2 d=0.130319 t=5390
chóng;pa,ql xīn;jq lái;am,wb 	重新来	c=1 d=0.582748 t=5390
chù;ij,ji fā;ay,fd,vy,yd 	触发	c=4 d=1.00603 t=5390
chú;ey fēi;aa 	除非	c=1 d=0.000685748 t=5390
chú;ey le;aa,vu 	除了	c=2 d=0.625002 t=5390
chún;st 	纯	c=1 d=0.715338 t=5390
chún;st cuì;mz 	纯粹	c=1 d=0.000239969 t=5390
chā;yg bié;dl 	差别	c=1 d=0.339596 t=5390
chā;yg é;yk 	差额	c=1 d=0.0608101 t=5390
chāi;fi 	拆	c=1 d=0.00369786 t=5390
chāi;fi fēn;bd,db 	拆分	c=1 d=2.04523e-06 t=5390
chāo;zv chū;ck,aa 	超出	c=1 d=0.203926 t=5390
chāo;zv chū;ck,aa qù;ts 	超出去	c=1 d=0.212248 t=5390
chī;kq shàng;aa,ba fàn;uf 	吃上饭	c=1 d=0.882497 t=5390
chōng;dv tū;xq,bq 	冲突	c=3 d=0.549351 t=5390
chōu;fy 	抽	c=1 d=0.778801 t=5390
chōu;fy dào;dv 	抽到	c=1 d=0.782705 t=5390
chū;ck,aa 	出	c=3 d=0.26345 t=5390
chū;ck,aa cuò;jx 	出错	c=1 d=0.00173804 t=5390
chū;ck,aa lái;am,wb 	出来	c=1 d=0.273898 t=5390
chū;ck,aa xiàn;wj 	出现	c=5 d=0.535239 t=5390
chū;yd dài;ry 	初代	c=1 d=0.0287246 t=5390
chū;yd zhōng;aa,ka 	初中	c=2 d=0.00680573 t=5390
chǎn;dp,li,wp shēng;na 	产生	c=3 d=0.035388 t=5390
chǒu;aa,at,vt 	丑	c=1 d=0.380983 t=5390
chǔ;wb yú;aa 	处于	c=2 d=0.06756 t=5390
chǔn;ii wèn;km,mk tí;uy,yu 	蠢问题	c=1 d=0.0428521 t=5390
cuò;jx 	错	c=2 d=0.814664 t=5390
cuò;jx le;aa,vu 	错了	c=2 d=0.0658508 t=5390
cuò;jx luàn;ug 	错乱	c=1 d=0.158025 t=5390
cuò;jx wù;yw 	错误	c=2 d=0.0644515 t=5390
cài;cc dān;ba,bd 	菜单	c=1 d=0.0617291 t=5390
cái;ap 	才	c=7 d=1.16803 t=5390
cái;ap shì;op,ov 	才是	c=1 d=0.0397558 t=5390
cái;mc liào;md 	材料	c=3 d=1.34796 t=5390
cè;dz 	测	c=6 d=0.134156 t=5390
cè;dz fǎ;dq 	测法	c=2 d=0.0102874 t=5390
cè;dz yàn;ma,mq 	测验	c=3 d=0.0421654 t=5390
cè;iz suǒ;hj,jh 	厕所	c=1 d=0.913931 t=5390
cì;dq 	次	c=1 d=0.250324 t=5390
cí;ys 	词	c=3 d=0.30898 t=5390
cí;ys diǎn;ba,bd 	词典	c=1 d=0.631284 t=5390
cí;ys jù;gk,kg,pk 	词句	c=1 d=0.00128757 t=5390
cí;ys kù;gi 	词库	c=12 d=1.15514 t=5390
cí;ys pín;yb 	词频	c=1 d=0.0119742 t=5390
cóng;rr 	从	c=2 d=0.0203776 t=5390
cóng;rr lái;am,wb 	从来	c=1 d=0.00146632 t=5390
cóng;rr méi;du 	从没	c=1 d=0.000871757 t=5390
cún;uz,za chǔ;rv 	存储	c=1 d=0.551563 t=5390
cún;uz,za zài;ta,ut 	存在	c=4 d=1.35906 t=5390
cān;sp kǎo;lk 	参考	c=2 d=0.384812 t=5390
cāng;re kù;gi 	仓库	c=9 d=4.08003 t=5390
cǎi;mv,vm nà;sn 	采纳	c=1 d=0.082085 t=5390
cǎi;mv,vm yòng;kf 	采用	c=1 d=0.0173355 t=5390
cǐ;vb qián;bd,qd 	此前	c=1 d=0.00112497 t=5390
cǐ;vb shí;oc 	此时	c=1 d=0.0187793 t=5390
de;bu 	的	c=252 d=14.4436 t=5390
de;bu tí;uy,yu 	的题	c=0 d=0.00141931 t=5390
de;ty 	地	c=1 d=0.600496 t=5390
diàn;ag,og lì;gp diàn;ag,og zǐ;aa,vh 	电力电子	c=0 d=0.0843665 t=5390
diàn;ag,og lì;gp diàn;ag,og zǐ;aa,vh hé;hk diàn;ag,og lì;gp tuō;fy dòng;ly,yl kòng;fk zhì;dg,dv xì;ps tǒng;si de;bu 	电力电子和电力拖动控制系统的	c=1 d=0.847894 t=5390
diàn;ag,og lì;gp tuō;fy dòng;ly,yl 	电力拖动	c=0 d=0.0843665 t=5390
diàn;ag,og nǎo;ox 	电脑	c=6 d=1.7857 t=5390
diàn;ag,og nǎo;ox shàng;aa,ba 	电脑上	c=1 d=0.0200405 t=5390
diào;fv 	掉	c=1 d=0.0356146 t=5390
diào;fv de;bu 	掉的	c=1 d=0.286505 t=5390
diào;yv huàn;fh 	调换	c=3 d=0.0328495 t=5390
diū;pq,ps 	丢	c=1 d=8.76574e-10 t=5390
diū;pq,ps rén;pd 	丢人	c=0 d=0.000364281 t=5390
diǎn;hv 	点	c=3 d=0.0650248 t=5390
diǎn;hv dào;dv 	点到	c=1 d=0.278037 t=5390
diǎn;hv jìn;zj lái;am,wb 	点进来	c=1 d=0.88692 t=5390
diǎn;hv jìn;zj qù;ts 	点进去	c=0 d=0.0408608 t=5390
diǎn;hv jī;aa,eu,fk 	点击	c=10 d=0.389192 t=5390
diǎn;hv jī;aa,eu,fk shì;aa jiàn;rn 	点击事件	c=1 d=0.286505 t=5390
diǎn;hv zàn;bx 	点赞	c=2 d=1.47831 t=5390
duì;cy,yc 	对	c=6 d=0.396892 t=5390
duì;cy,yc a;ka 	对啊	c=1 d=0.0154523 t=5390
duì;cy,yc bǐ;bb yí;aa xià;ab,ad 	对比一下	c=1 d=0.000608205 t=5390
duì;cy,yc de;bu 	对的	c=1 d=0.000920728 t=5390
duì;cy,yc me;ps 	对么	c=1 d=0.0129715 t=5390
duì;cy,yc wǒ;pd,pp 	对我	c=3 d=0.102844 t=5390
duì;cy,yc ya;ky 	对呀	c=1 d=0.574072 t=5390
duì;cy,yc zhào;hv 	对照	c=1 d=6.625e-10 t=5390
duì;er yǒu;yu,uy 	队友	c=3 d=0.979153 t=5390
duō;xx 	多	c=3 d=0.68652 t=5390
duō;xx gè;ra,pa 	多个	c=2 d=0.637575 t=5390
duō;xx gōng;gl,lg néng;sb 	多功能	c=1 d=0.0294518 t=5390
duō;xx hǎo;nz 	多好	c=1 d=0.00375375 t=5390
duō;xx le;aa,vu 	多了	c=1 d=1.17411e-06 t=5390
duō;xx shǎo;xp 	多少	c=2 d=1.05099 t=5390
duō;xx xuǎn;zx tí;uy,yu 	多选题	c=1 d=0.697676 t=5390
duō;xx yì;di,id cí;ys 	多义词	c=1 d=0.25284 t=5390
duō;xx yí;aa cì;dq 	多一次	c=1 d=0.254107 t=5390
duō;xx yú;rb,rd,rh 	多余	c=3 d=1.62762 t=5390
dà;ad 	大	c=2 d=0.854841 t=5390
dà;ad bù;ek,ep fèn;bd,db 	大部分	c=1 d=0.0117959 t=5390
dà;ad jiā;bu 	大家	c=1 d=0.0432828 t=5390
dà;ad liàng;ol 	大量	c=1 d=0.429557 t=5390
dà;ad lǎo;rl 	大佬	c=19 d=1.83899 t=5390
dà;ad lǎo;rl de;bu 	大佬的	c=1 d=0.143704 t=5390
dà;ad wén;wi,dd jiàn;rn 	大文件	c=1 d=0.782705 t=5390
dà;ad xiě;by 	大写	c=1 d=0.657047 t=5390
dà;ad xiǎo;ad 	大小	c=4 d=2.53499 t=5390
dài;jb lái;am,wb 	带来	c=1 d=0.313486 t=5390
dài;ry mǎ;um 	代码	c=12 d=1.56637 t=5390
dài;ry mǎ;um zhōng;aa,ka 	代码中	c=1 d=0.349938 t=5390
dài;ry zuò;rg 	代做	c=1 d=0.153355 t=5390
dàn;rd 	但	c=11 d=1.57405 t=5390
dàn;rd shì;op,ov 	但是	c=15 d=1.00351 t=5390
dào;dv 	到	c=11 d=0.240137 t=5390
dào;dv chù;wb zhǎo;fg 	到处找	c=0 d=0.0110803 t=5390
dào;dv chù;wb zhǎo;fg zhǎo;fg 	到处找找	c=1 d=0.111359 t=5390
dào;dv dǐ;gd 	到底	c=1 d=0.40657 t=5390
dào;dv le;aa,vu 	到了	c=1 d=0.0291588 t=5390
dào;dv shí;oc hòu;ru 	到时候	c=1 d=0.0298969 t=5390
dá;vh àn;bm,ma 	答案	c=13 d=2.47288 t=5390
dá;vh àn;bm,ma kuàng;mk 	答案框	c=1 d=0.292293 t=5390
dé;xc 	得	c=1 d=0.481909 t=5390
dé;xc dào;dv 	得到	c=1 d=0.0206508 t=5390
dé;xc le;aa,vu 	得了	c=4 d=1.0837 t=5390
dì;jb,wj,lj 	帝	c=2 d=0.859126 t=5390
dì;ty fāng;dg,wd,dp,dw 	地方	c=4 d=0.819934 t=5390
dì;vp 	第	c=3 d=0.370164 t=5390
dì;vp jǐ;py gè;ra,pa 	第几个	c=1 d=0.139018 t=5390
dì;vp jǐ;py gè;ra,pa zì;bz 	第几个字	c=1 d=0.238116 t=5390
dì;vp liù;wb,dd,db bù;vx 	第六步	c=1 d=0.324652 t=5390
dì;vp sì;aa,ke háng;xd,xi 	第四行	c=1 d=0.0216013 t=5390
dì;vp yī;aa cì;dq 	第一次	c=3 d=0.45773 t=5390
dì;vp yī;aa gè;ra,pa 	第一个	c=4 d=0.382722 t=5390
dì;vp yī;aa wèi;rl 	第一位	c=2 d=0.452277 t=5390
dì;vp èr;aa gè;ra,pa 	第二个	c=4 d=0.06721 t=5390
dì;vp èr;aa jù;gk,kg,pk huà;yu 	第二句话	c=1 d=0.442639 t=5390
dìng;bp 	定	c=1 d=0.114178 t=5390
dìng;bp wèi;rl 	定位	c=2 d=0.00105032 t=5390
dìng;bp wèi;rl bù;ad,ax liǎo;aa,vu le;aa,vu 	定位不了了	c=1 d=0.000236397 t=5390
dìng;bp zì;bz 	定字	c=1 d=0.0672054 t=5390
dòng;ly,yl tài;xt 	动态	c=1 d=0.438235 t=5390
dòng;ly,yl tài;xt tiáo;yv pín;yb 	动态调频	c=2 d=0.0118579 t=5390
dòu;aa,aq bāo;gs 	豆包	c=1 d=0.0443785 t=5390
dùn;yt hào;kk 	顿号	c=1 d=0.0257325 t=5390
dú;qi lì;da 	独立	c=2 d=0.745107 t=5390
dú;qi lì;da chuāng;xx,bx kǒu;aa 	独立窗口	c=1 d=0.348193 t=5390
dú;ym shū;ad,vd 	读书	c=1 d=0.0875977 t=5390
dú;ym zhě;lo,ol 	读者	c=1 d=0.105399 t=5390
dān;ba,bd chún;st 	单纯	c=1 d=0.0139818 t=5390
dān;ba,bd dú;qi 	单独	c=3 d=1.44534 t=5390
dān;ba,bd gè;ra,pa 	单个	c=1 d=0.208045 t=5390
dān;fd bǎo;rd 	担保	c=1 d=0.075774 t=5390
dāng;xx 	当	c=3 d=0.433912 t=5390
dāng;xx shí;oc 	当时	c=1 d=0.00244185 t=5390
děi;xc 	得	c=3 d=0.571209 t=5390
děi;xc yòng;kf 	得用	c=1 d=0.0642483 t=5390
děng;vs 	等	c=5 d=0.215319 t=5390
děng;vs děng;vs 	等等	c=5 d=0.795464 t=5390
děng;vs wǒ;pd,pp 	等我	c=1 d=0.254107 t=5390
dōng;ad,qx xi;aa 	东西	c=2 d=0.0824965 t=5390
dōu;ev 	都	c=22 d=1.38368 t=5390
dōu;ev bèi;yp 	都被	c=1 d=0.0478349 t=5390
dōu;ev bù;ad,ax néng;sb 	都不能	c=2 d=4.57729e-06 t=5390
dōu;ev bú;ad,ax zuò;rg 	都不做	c=1 d=0.0395575 t=5390
dōu;ev děi;xc 	都得	c=1 d=7.89201e-10 t=5390
dōu;ev dǎ;fd 	都打	c=1 d=4.90792e-10 t=5390
dōu;ev kě;dk yǐ;rd,ry 	都可以	c=1 d=5.9349e-10 t=5390
dōu;ev méi;du 	都没	c=1 d=0.151072 t=5390
dōu;ev shì;op,ov 	都是	c=11 d=2.85615 t=5390
dōu;ev yí;aa yàng;my 	都一样	c=1 d=0.423162 t=5390
dǎ;fd 	打	c=12 d=0.948602 t=5390
dǎ;fd chéng;gg,wg 	打成	c=1 d=0.0132999 t=5390
dǎ;fd jù;gk,kg,pk zi;aa,vh 	打句子	c=1 d=0.00099776 t=5390
dǎ;fd kāi;ac 	打开	c=2 d=1.14464 t=5390
dǎ;fd luàn;ug 	打乱	c=1 d=0.0359725 t=5390
dǎ;fd mǎ;um 	打码	c=1 d=0.941765 t=5390
dǎ;fd quán;rw 	打全	c=1 d=0.0137049 t=5390
dǎ;fd suàn;vc 	打算	c=1 d=0.079659 t=5390
dǎ;fd wǎ;ad 	打瓦	c=1 d=7.06993e-10 t=5390
dǎ;fd yí;aa biàn;zb 	打一遍	c=1 d=0.00264522 t=5390
dǎ;fd zì;bz 	打字	c=2 d=0.279431 t=5390
dǎng;xx,dx,ek 	党	c=0 d=0.0179964 t=5390
dǎo;cs,sc chū;ck,aa 	导出	c=11 d=0.796283 t=5390
dǎo;cs,sc zhì;wv 	导致	c=8 d=1.17583 t=5390
dǐ;gd céng;uy 	底层	c=1 d=1.60081e-06 t=5390
dǐng;dy,yd bù;ek,ep 	顶部	c=1 d=0.0122161 t=5390
dǒng;xd 	懂	c=1 d=0.0485578 t=5390
dǒng;xd la;kl 	懂啦	c=1 d=0.183599 t=5390
dǒu;fd yīn;lo 	抖音	c=3 d=1.67121 t=5390
fàng;wf,fw 	放	c=3 d=1.84772 t=5390
fàng;wf,fw nǎ;kn 	放哪	c=1 d=0.516851 t=5390
fàng;wf,fw qì;cw,wc 	放弃	c=1 d=0.0155297 t=5390
fàng;wf,fw zhe;yo 	放着	c=1 d=0.018043 t=5390
fàng;wf,fw zài;ta,ut 	放在	c=4 d=0.367472 t=5390
fá;sd chāo;fu 	罚抄	c=0 d=3.11223e-05 t=5390
fá;sd chāo;fu yí;aa biàn;zb 	罚抄一遍	c=1 d=0.000312784 t=5390
fán;hy 	烦	c=1 d=0.346456 t=5390
fán;sm tǐ;rb 	繁体	c=1 d=0.0023461 t=5390
fù;pw,rw,wo kè;dh 	复刻	c=1 d=0.0867261 t=5390
fù;pw,rw,wo zhì;dg,dv 	复制	c=8 d=0.829321 t=5390
fù;pw,rw,wo zhì;dg,dv le;aa,vu 	复制了	c=1 d=0.144424 t=5390
fù;pw,rw,wo zá;jm,mj le;aa,vu 	复杂了	c=1 d=1.98478e-06 t=5390
fù;xf gài;my,ym 	覆盖	c=14 d=1.99176 t=5390
fú;jf,jt dù;gy 	幅度	c=1 d=0.187308 t=5390
fú;oy 	服	c=1 d=0.146607 t=5390
fú;oy wù;wl 	服务	c=1 d=0.628135 t=5390
fú;vf hào;kk 	符号	c=1 d=0.97531 t=5390
fā;ay,fd,vy,yd 	发	c=2 d=0.458461 t=5390
fā;ay,fd,vy,yd de;bu 	发的	c=1 d=0.187308 t=5390
fā;ay,fd,vy,yd le;aa,vu 	发了	c=1 d=5.13382e-10 t=5390
fā;ay,fd,vy,yd xiàn;wj 	发现	c=4 d=1.21268 t=5390
fān;tb,pt,tm qié;cj 	番茄	c=1 d=0.064894 t=5390
fān;yf yè;ab 	翻页	c=4 d=0.0167852 t=5390
fān;yf yè;ab le;aa,vu 	翻页了	c=1 d=0.00331267 t=5390
fāng;dg,wd,dp,dw biàn;rg 	方便	c=4 d=0.265286 t=5390
